Probe ID,Gene Symbol,GenBank Accession,Adjusted p-value,GSM1249165,GSM1249166,GSM1249167,GSM1249170,GSM1249171,GSM1249172
A_52_P1027662,,AK079499,0.004874074,6.779,6.79,6.773,7.538,7.531,7.561
A_52_P32453,1110020A21Rik,NR_027930,0.1418029,7.928,7.895,8.007,9.111,9.189,9.076
A_52_P351574,Plcb1,NM_019677,0.1418029,11.99,12.061,12.039,10.39,10.234,10.149
A_51_P398887,Ctns,NM_031251,0.1439335,11.06,11.051,11.06,11.531,11.604,11.596
A_52_P585699,Ciao1,NM_025296,0.1488298,9.978,9.985,10.04,10.644,10.722,10.648
A_51_P220723,B230118H07Rik,NM_026592,0.1742964,14.08,14.013,14.036,14.575,14.64,14.578
A_51_P159352,Sub1,NM_011294,0.1777211,13.238,13.323,13.204,12.366,12.456,12.311
A_51_P162083,Elfn2,NM_183141,0.1777211,10.998,10.794,10.774,9.451,9.22,9.404
A_51_P318933,Camk2b,NM_007595,0.1777211,15.978,15.91,15.965,15.397,15.421,15.343
A_51_P438028,Fam133b,AK020011,0.1777211,6.355,6.429,6.475,7.058,7.109,7.023
A_52_P121051,2610001J05Rik,NR_024619,0.1777211,12.485,12.596,12.488,13.105,13.078,13.088
A_52_P326399,Fkbp11,NM_024169,0.1777211,7.464,7.471,7.474,8.394,8.592,8.535
A_52_P331523,Brd9,NM_001024508,0.1777211,11.665,11.641,11.621,10.766,10.934,10.888
A_52_P413448,Vmp1,AK019443,0.1777211,8.714,8.53,8.626,9.495,9.575,9.602
A_52_P443676,9330119M13Rik,AK077865,0.1777211,6.469,6.641,6.628,7.555,7.491,7.571
A_52_P604735,Fbxl2,AK089994,0.1777211,7.156,7.263,7.145,7.892,7.873,7.963
A_51_P373461,Brcc3,NM_145956,0.1856992,12.089,11.952,11.974,12.696,12.754,12.671
A_52_P361338,Rab10os,AK005891,0.1856992,8.59,8.5,8.558,9.048,9.14,9.114
A_51_P194306,Lrrc1,NM_172528,0.1875682,9.888,10.034,9.866,10.704,10.803,10.767
A_51_P434041,Nkain4,NM_021426,0.1875682,12.95,12.962,12.83,13.691,13.761,13.629
A_52_P545608,Tnks1bp1,NM_001081260,0.1875682,11.282,10.955,11.15,9.818,9.768,9.735
A_51_P279997,Slc4a7,NM_001033270,0.189518,11.712,11.648,11.882,10.688,10.602,10.523
A_51_P298843,Pcbd2,NM_028281,0.2028552,11.445,11.461,11.357,12.006,12.1,11.988
A_51_P365656,Tmem101,NM_029649,0.2028552,11.55,11.491,11.552,12.118,11.995,12.078
A_52_P505192,Ntn3,NM_010947,0.2028552,9.082,9.034,9.036,9.564,9.458,9.542
A_51_P149872,,,0.2123665,6.899,6.987,6.983,7.38,7.446,7.383
A_51_P166648,Eva1c,NM_027627,0.2123665,9.458,9.567,9.558,10.518,10.315,10.287
A_51_P177965,Endou,NM_008902,0.2123665,7.209,7.408,7.324,8.089,8.251,8.273
A_51_P212183,Tmem261,NM_025849,0.2123665,11.618,11.576,11.534,11.949,12.032,12.039
A_51_P244792,Rgs17,NM_019958,0.2123665,10.566,10.598,10.529,11.006,10.926,10.917
A_51_P247114,,,0.2123665,6.091,6.04,6.191,7.885,8.178,8.483
A_51_P249286,Rgs16,NM_011267,0.2123665,9.821,9.698,9.548,10.972,10.736,10.907
A_51_P266143,Adpgk,NM_028121,0.2123665,9.601,9.604,9.515,10.083,10.256,10.156
A_51_P295846,Adgrb1,NM_174991,0.2123665,14.459,14.382,14.327,13.876,13.754,13.868
A_51_P314521,Smim11,NM_138743,0.2123665,11.783,11.623,11.622,12.432,12.338,12.336
A_51_P341832,Nthl1,NM_008743,0.2123665,7.67,7.655,7.897,8.569,8.52,8.611
A_51_P342773,Vipr2,NM_009511,0.2123665,6.668,6.612,6.895,8.706,9.174,9.345
